date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
30/12/2023;;07/04/2025;07:45;D;Vieux Lyon;Esc. 8107;Réducteur gauche + moteur HS ;Panne;escalier;2023;;;8107.0
29/08/2024;17:34;10/04/2025;;B;Jean Jaures;Esc. 4601;Galets de chaîne de marche + axes HS - remplacement;Usure;escalier;2024;;;4601.0
06/09/2024;09:00;01/05/2025;;D;Grange blanche ;Esc. 7406;Chaines de marches HS ;Usure;escalier;2024;;;7406.0
18/09/2024;04:54;08/01/2025;15:30;B;Jean macé;Esc. 4502;paliers chariot tenseur de la station de retournement HS ;Panne;escalier;2024;2698.6;112.44166666666666;4502.0
13/10/2024;17:00;10/04/2025;;B;Jean Jaures ;Esc. 4602;Tourteau haut HS;Panne;escalier;2024;;;4602.0
23/10/2024;07:47;30/04/2025;;B;Gerland ;Esc. 4802;Portion de chaine HS - suite DEKRA;Usure;escalier;2024;;;4802.0
28/10/2024;13:11;28/02/2025;;B;Guichard;Asc. 431;Parachute cabine + guides HS;Usure;ascenseur;2024;;;431.0
28/10/2024;10:00;09/01/2025;15:10;B;Part Dieu;Esc. 4210;Roulements + arbre de retournement HS;Panne;escalier;2024;1757.1666666666667;73.21527777777779;4210.0
30/10/2024;12:00;31/05/2025;;D;Garibaldi;Esc. 7702;Commande armoire de manœuvre + anti dérive HS ;Panne;escalier;2024;;;7702.0
12/11/2024;19:00;30/04/2025;;B;Debourg;Esc. 4702;Galets de chaines + axes HS;Panne;escalier;2024;;;4702.0
09/12/2024;;06/02/2025;17:00;D;Gare de Vénissieux ;Esc. 7003;Empilement de marches :Reprise plaque porte peigne + remplacement 4 marches + axe de chaine + peignes X5 + guides de marches ;Panne;escalier;2024;;;7003.0
09/12/2024;;19/02/2025;12:00;D;Garibaldi;Esc. 7704;"Remplacement des peignes + Contact de trappe HS + 
Jeux plinthe/marche. RerisesGlobal NC
";Usure;escalier;2024;;;7704.0
10/12/2024;;28/02/2025;15:15;D;Bellecour;Esc. 2607;"Chaine moteur + frein HS à remplacer + roulements moteur HS
Reprise global de l'EM Non-conformité";Usure;escalier;2024;;;2607.0
11/12/2024;11:31;15/05/2025;;D;Laennec;Esc. 7302;"contact pp haut hs + Reprise global de l'EM
 Non-conformité + marches HS";Usure;escalier;2024;;;7302.0
12/12/2024;;30/05/2025;;D;Grange Blanche;Esc. 7402;Chaine de marche HS + main courante + Marches;Usure;escalier;2024;;;7402.0
