date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
05/02/2023;00:10;08/02/2024;19:55;B;Jean jaures;Asc. 461; Câble limiteur de vitesse HS + câble commande de déverrouillage de frein HS;;ascenseur;2023;8851.75;368.8229166666667;461.0
14/04/2023;21:12;25/04/2024;13:00;D;Grange Blanche ;Asc. 741;Amortisseur de pulsation de la centrale hydraulique HS;Panne;ascenseur;2023;9039.8;376.6583333333333;741.0
20/05/2023;17:50;30/04/2024;;D;Gorge de loup;Esc. 8205;Pignons de sortie de réducteur HS;Usure;escalier;2023;;;8205.0
16/08/2023;;14/03/2024;;D;Monplaisir Lumiere ;Esc. 7501;Paliers arbre principal de la station d’entraînement HS;;escalier;2023;;;7501.0
30/10/2023;;15/06/2024;;B;Jean jaures;Esc. 4601;paliers du chariot tenseur de la station de retournement sont HS;Usure;escalier;2023;;;4601.0
06/11/2023;;31/05/2024;;D;Gare de Vaise;Esc. 8402;Paliers arbre principal de la station d’entraînement HS;;escalier;2023;;;8402.0
29/11/2023;;25/01/2024;14:00;A;Gratte Ciel;Esc. 1901;Suite vandalisme 6 Marches cassées + plaque porte peigne HS;;escalier;2023;;;1901.0
01/12/2023;;30/01/2024;17:30;D;Garibaldi;Asc. 772;Amortisseur de pulsations de la centrale hydraulique HS + Vérin hydraulique HS;;ascenseur;2023;;;772.0
15/12/2023;;09/02/2024;09:15;D;Laennec;Esc. 7302;Chaine d'entrainement main courante droite HS + pistes inférieures côté gauche et galets HS;;escalier;2023;;;7302.0
18/12/2023;;30/04/2024;;C;Croix rousse;Esc. 5701;Guide de main courante côté gauche supérieur HS + plaques et guides porte peigne HS ;;escalier;2023;;;5701.0
20/12/2023;07:45;13/01/2024;;D;Monplaisir Lumiere ;Asc. 751;"Problemes moteur + defauts surchauffe 
+ pb remontées infos, asc ok ";;ascenseur;2023;;;751.0
22/12/2023;20:00;14/01/2024;;A;Ampère ;Asc. 271;Cables tractions HS suite à désincarceration;;ascenseur;2023;;;271.0
30/12/2023;;01/12/2024;;D;Vieux Lyon;Esc. 8107;Réducteur gauche + moteur HS - En cours d'expertise  ;Panne;escalier;2023;;;8107.0
01/01/2024;;01/06/2024;;P+R;Reseau TCL ;;Hors perimètre KL;;;2024;;;
03/01/2024;;07/01/2024;;A;Cordeliers;Esc. 2502;Porte LEM HS ;;escalier;2024;;;2502.0
05/01/2024;;08/01/2024;14:30;A;Cordeliers;Asc. 252;Réglages portes ;;ascenseur;2024;;;252.0
08/01/2024;;11/01/2024;18:00;D;Garibaldi;Esc. 7702;Roulements du pignon de déflexion + anti dérive de l’entraînement de la main courante haut droit HS;;escalier;2024;;;7702.0
08/01/2024;;15/01/2024;13:15;D;Guillotière ;Asc. 793;Poulie de guide de chape défectueuse;;ascenseur;2024;;;793.0
13/01/2024;17:10;15/01/2024;19:35;T4;Manufacture ;Esc. 9701 ; DP HS;;escalier;2024;50.416666666666664;2.100694444444444;9701.0
17/01/2024;;20/01/2024;;D;Bellecour;Asc. 265;infiltration eau de pluie - Asc HS;;ascenseur;2024;;;265.0
