date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
30/12/2023;;31/03/2025;;D;Vieux Lyon;Esc. 8107;Réducteur gauche + moteur HS ;Panne;escalier;2023;;;8107.0
29/08/2024;17:34;10/04/2025;;B;Jean Jaures;Esc. 4601;Galets de chaîne de marche + axes HS - remplacement;Usure;escalier;2024;;;4601.0
06/09/2024;09:00;01/05/2025;;D;Grange blanche ;Esc. 7406;Chaines de marches HS ;Usure;escalier;2024;;;7406.0
13/10/2024;17:00;10/04/2025;;B;Jean Jaures ;Esc. 4602;Tourteau haut HS;Panne;escalier;2024;;;4602.0
23/10/2024;07:47;30/03/2025;;B;Gerland ;Esc. 4802;Portion de chaine HS - suite DEKRA;Usure;escalier;2024;;;4802.0
28/10/2024;13:11;28/02/2025;13:55;B;Guichard;Asc. 431;Parachute cabine + guides HS;Usure;ascenseur;2024;2952.733333333333;123.03055555555555;431.0
30/10/2024;12:00;31/03/2025;;D;Garibaldi;Esc. 7702;Commande armoire de manœuvre + anti dérive HS ;Panne;escalier;2024;;;7702.0
12/11/2024;19:00;15/04/2025;;B;Debourg;Esc. 4702;Galets de chaines + axes HS;Panne;escalier;2024;;;4702.0
09/12/2024;;19/02/2025;12:00;D;Garibaldi;Esc. 7704;"Remplacement des peignes + Contact de trappe HS + 
Jeux plinthe/marche. RerisesGlobal NC
";Usure;escalier;2024;;;7704.0
10/12/2024;;28/02/2025;15:15;D;Bellecour;Esc. 2607;"Chaine moteur + frein HS à remplacer + roulements moteur HS
Reprise global de l'EM Non-conformité";Usure;escalier;2024;;;2607.0
11/12/2024;11:31;15/04/2025;;D;Laennec;Esc. 7302;"contact pp haut hs + Reprise global de l'EM
 Non-conformité";Usure;escalier;2024;;;7302.0
12/12/2024;;07/03/2025;11:36;D;Guillotière;Esc. 7902;Main courante HS;Usure;escalier;2024;;;7902.0
12/12/2024;;30/04/2025;;D;Grange Blanche;Esc. 7402;Chaine de marche HS + main courante;Usure;escalier;2024;;;7402.0
12/12/2024;;10/02/2025;10:12;D;Gorge de Loup;Esc. 8205;Poulie d'entrainement MC HS;Usure;escalier;2024;;;8205.0
17/12/2024;13:13;31/03/2025;;D;Sans souci;Esc. 7602;Reprise global de l'EM non-conformité;Usure;escalier;2024;;;7602.0
02/01/2025;17:47;06/03/2025;07:20;D;Gorge de loup;Asc. 821;vantaux cabine  + console de porte HS;Usure;ascenseur;2025;1501.55;62.56458333333333;821.0
