date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
30/12/2023;;07/04/2025;07:45;D;Vieux Lyon;Esc. 8107;Réducteur gauche + moteur HS ;Panne;escalier;2023;;;8107.0
29/08/2024;17:34;27/03/2025;17:35;B;Jean Jaures;Esc. 4601;Galets de chaîne de marche + axes HS - remplacement;Usure;escalier;2024;5040.016666666666;210.00069444444443;4601.0
06/09/2024;09:00;03/04/2025;14:00;D;Grange blanche ;Esc. 7406;Chaines de marches HS  ;Usure;escalier;2024;5021.0;209.20833333333334;7406.0
13/10/2024;17:00;10/04/2025;;B;Jean Jaures ;Esc. 4602;Tourteau haut HS;Panne;escalier;2024;;;4602.0
23/10/2024;7:47;30/04/2025;;B;Gerland ;Esc. 4802;Portion de chaine HS - suite DEKRA;Usure;escalier;2024;;;4802.0
30/10/2024;12:00;31/05/2025;;D;Garibaldi;Esc. 7702;Commande armoire de manœuvre + anti dérive HS ;Panne;escalier;2024;;;7702.0
12/11/2024;19:00;30/04/2025;;B;Debourg;Esc. 4702;Galets de chaines + axes HS;Panne;escalier;2024;;;4702.0
11/12/2024;11:31;15/05/2025;;D;Laennec;Esc. 7302;"contact pp haut hs + Reprise global de l'EM
 Non-conformité + marches HS";Usure;escalier;2024;;;7302.0
12/12/2024;;30/05/2025;;D;Grange Blanche;Esc. 7402;Chaine de marche HS + main courante + Marches;Usure;escalier;2024;;;7402.0
17/12/2024;13:13;30/05/2025;;D;Sans souci;Esc. 7602;Reprise global de l'EM non-conformité ;Usure;escalier;2024;;;7602.0
13/01/2025;09:25;30/05/2025;;D;Montplaisir Lumiere  ;Esc.7502;Chaine de marches + marches + MC;Usure;escalier;2025;;;7502.0
21/01/2025;11:30;30/05/2025;;B;Debourg;Esc. 4701;Empilement de marches ;Panne;escalier;2025;;;4701.0
23/01/2025;13:25;31/03/2025;18:05;D;Parilly;Esc. 7101;chaîne d’entraînement de mains courantes G et D et le pignons D inférieur de déflexion  HS;Usure;escalier;2025;1612.6666666666667;67.19444444444444;7101.0
02/02/2025;06:00;20/03/2025;16:00;A;Foch;Esc. 2302;Reprise reglage plaque porte peigne + capteurs HS;Usure;escalier;2025;1114.0;46.416666666666664;2302.0
04/02/2025;06:33;30/04/2025;;A;Flachet;Asc. 182;Remplacement moteur PMS + cable traction;Panne;ascenseur;2025;;;182.0
04/02/2025;12:50;25/03/2025;11:00;C;Croix rousse ;Esc. 5702;Réglage plaque porte peigne – actionneur à remplacer;CR DEKRA;escalier;2025;1174.1666666666667;48.923611111111114;5702.0
